"If all boxes in a category are correct, but there is an extra box which is not correct, it's counted as 0",,,,,,,,,,
FAU 1 and 2 labels do not correspond with FAU identity (Orbital 1 does not mean Left Orbital consistently. Orbital 1 means at least 1 orbital and Orbital 2 means both Orbitals),,,,,,,,,,
"Put frame identities under each column, not total count for that interval",,,,,,,,,,
Video name:,MOUSE_A.MP4,,,,,,,,,
,,,,,Frame Indices:,,,get from code,,
Clip number,Start of interval (s),Orbital 1,Orbital 2,Nose,Whiskers,Ears 1,Ears 2,Viable indices,Notes,
1,0,9,,,,"0, 1, 2, 4",,9,barely,
2,30,"11, 23, 24, 25",,,,"2, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29","14, 15, 16, 22, 29","11, 24, 25",23 has 1 correct orbital box and 1 incorrect box-- might affect MGS,
3,60,"4, 8, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",20,"5, 18, 19, 20, 22, 23, 24, 25, 26",,"0, 1, 2, 3, 4, 5, 6, 9, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29","9,13, 20",,"8,16 have 1C/1NC orbital box",23 has 1C/1NC ears
4,90,"0, 3, 4, 5, 6, 13, 14, 15, 16, 26",13,"1, 2, 3, 4, 5, 12, 13, 14, 15, 16, 17, 23",,"0, 1, 2, 4, 6, 7, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 29","16, 19,  24",,6 has face box,17 has 1C/1NC ears
5,120,"1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 17, 22, 23",13,"2, 4, 5, 6, 12, 13, 14, 15, 16, 23",,"1, 2, 4, 5, 11, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 29","13, 15, 16, 19, 24",,,
6,150,"17, 18, 19, 20",,17,,"4, 5, 6, 7, 9, 10, 11, 13, 14, 17, 18, 19, 20","5, 6, 7, 17",,,
7,180,,,,,,,,out of chamber for full video,
8,210,"27, 28, 29",,"25, 27, 28",,"27, 28, 29",,,"25 has N but is mouse is mid-air, 27/28/29 have 1C/1NC orbital each",
9,240,"0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 14",,"1, 2, 5, 7, 9, 10, 13",,"0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 20, 22, 23, 24, 25, 27, 28, 29","5, 15, 16, 20, 23, 25, 28, 29",,0/1/2/4/5/6/8/9/10/14 have 1C/1NC orbital each,
10,270,"1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 15, 19, 20, 21, 22, 25",,"0, 6, 9, 11, 14, 15, 17, 18, 19, 20, 22, 29",,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25","3, 4, 5, 6, 7, 9, 13, 15, 19, 20",,"partial box (over part of nose) is wrong calssification, 25 has 1C/1NC orbital, 29 has 1C/1NC ears",
11,300,"1, 2, 3, 4, 15, 16, 21, 22, 23, 24, 25, 26, 27",,"1, 2, 15, 16, 24, 27",4,"1, 2, 3, 4, 5, 7, 8, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29","1, 8, 10, 13, 17, 24",,1/2/4/21/22/23/24/25/26/27 have 1C/1NC orbital,
12,330,"1, 3, 8, 10, 11, 14",,"3, 5, 10, 12",,"1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 22, 23, 24, 25, 26, 27, 28, 29","2, 7, 10, 15, 22, 23, 24, 25, 26, 27, 28, 29",,8/10/11 has 1C/1NC orbital,
13,360,"20, 23, 24, 29",,"5, 24",,"2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20, 23, 24, 25, 28, 29","2, 3, 6, 7, 9, 15, 16, 17, 18",,24/29 has 1C/1NC orbital,
14,390,"23, 25, 26",,"23, 25, 26",,"0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 16, 17, 23, 25, 26, 28, 29","0, 3, 4, 5, 6, 9, 11, 12, 16, 17",,27 has 1C/1NC orbital,
15,420,,,,,,,,,
16,450,,,,,,,,,
17,480,,,,,,,,,
18,510,,,,,,,,,
19,540,,,,,,,,,
20,570,,,,,,,,,
21,600,,,,,,,,,
22,630,,,,,,,,,
23,660,,,,,,,,,
24,690,,,,,,,,,
25,720,,,,,,,,,
26,750,,,,,,,,,
27,780,,,,,,,,,
28,810,,,,,,,,,
29,840,,,,,,,,,
30,870,,,,,,,,,